epoch:1	trainacc=0.7093677136195309	trainloss=0.5529768956361648	acc=0.7470664928292047	prec=0.7435897435897436	f1=0.7493540051679587	auc=0.8370458006962576	spec=0.7389033942558747	mcc=0.4941822955370338	auprc=0.8432918816071298	sensitivity=0.7552083333333334
epoch:2	trainacc=0.7838430942257578	trainloss=0.4576642289472054	acc=0.6897001303780965	prec=0.6983695652173914	f1=0.6835106382978724	auc=0.7883757615317668	spec=0.7101827676240209	mcc=0.379763586795309	auprc=0.7671358930942862	sensitivity=0.6692708333333334
epoch:3	trainacc=0.8423398710739267	trainloss=0.36276254294972243	acc=0.7522816166883963	prec=0.7437185929648241	f1=0.7570332480818414	auc=0.8525892080069626	spec=0.7336814621409922	mcc=0.5048753729550177	auprc=0.8706940749418677	sensitivity=0.7708333333333334
epoch:4	trainacc=0.8786860512961185	trainloss=0.2972136262081496	acc=0.7327249022164276	prec=0.7029478458049887	f1=0.7515151515151517	auc=0.8380045147954743	spec=0.6579634464751958	mcc=0.47057414205996617	auprc=0.8529046042819803	sensitivity=0.8072916666666666
epoch:5	trainacc=0.9065971745988205	trainloss=0.2430057283339928	acc=0.7783572359843546	prec=0.7891891891891892	f1=0.7745358090185677	auc=0.8711787423846823	spec=0.7963446475195822	mcc=0.5571061272807543	auprc=0.877635541180638	sensitivity=0.7604166666666666
epoch:6	trainacc=0.9201069812097106	trainloss=0.2105938469525821	acc=0.7744458930899609	prec=0.8022922636103151	f1=0.7639836289222373	auc=0.8698392624020889	spec=0.8198433420365535	mcc=0.5512446743399402	auprc=0.8810066811461686	sensitivity=0.7291666666666666
epoch:7	trainacc=0.9329310108352764	trainloss=0.17741187541939918	acc=0.7522816166883963	prec=0.7566137566137566	f1=0.7506561679790026	auc=0.8586678633594429	spec=0.7597911227154047	mcc=0.5046342600899651	auprc=0.8712578720923156	sensitivity=0.7447916666666666
epoch:8	trainacc=0.9427376217254149	trainloss=0.15988183773798745	acc=0.7288135593220338	prec=0.75	f1=0.717391304347826	auc=0.8367330287206266	spec=0.7702349869451697	mcc=0.4592865505869217	auprc=0.8453673843906133	sensitivity=0.6875
epoch:9	trainacc=0.9520641887258263	trainloss=0.13443489011475657	acc=0.7614080834419817	prec=0.7830985915492957	f1=0.7523680649526387	auc=0.8542414599651871	spec=0.7989556135770235	mcc=0.5243634834467188	auprc=0.8603893405669304	sensitivity=0.7239583333333334
epoch:10	trainacc=0.9570017830201618	trainloss=0.11905939547758149	acc=0.78748370273794	prec=0.8148148148148148	f1=0.7782312925170067	auc=0.8759315165361183	spec=0.8302872062663186	mcc=0.5771546360731284	auprc=0.8728155415087349	sensitivity=0.7447916666666666
epoch:11	trainacc=0.9613221780277054	trainloss=0.10895597978776558	acc=0.7314211212516297	prec=0.8296296296296296	f1=0.6850152905198776	auc=0.852664001305483	spec=0.8798955613577023	mcc=0.4849540204481353	auprc=0.862436197233585	sensitivity=0.5833333333333334
epoch:12	trainacc=0.9648882183513922	trainloss=0.09773991223367723	acc=0.7900912646675359	prec=0.7837150127226463	f1=0.7927927927927928	auc=0.8762442885117494	spec=0.7780678851174935	mcc=0.5803288103302712	auprc=0.8835863744283425	sensitivity=0.8020833333333334
epoch:13	trainacc=0.9688657248662735	trainloss=0.09136792999244321	acc=0.7535853976531942	prec=0.7793696275071633	f1=0.7421555252387451	auc=0.8489719321148825	spec=0.7989556135770235	mcc=0.5093537930143943	auprc=0.8432275634027016	sensitivity=0.7083333333333334
epoch:14	trainacc=0.97270607598409	trainloss=0.08413674666711796	acc=0.7379400260756193	prec=0.7764350453172205	f1=0.7188811188811188	auc=0.8434712249782419	spec=0.8067885117493473	mcc=0.4805834961056706	auprc=0.8341084673186969	sensitivity=0.6692708333333334
epoch:15	trainacc=0.9705801673295844	trainloss=0.08675044748804375	acc=0.7666232073011734	prec=0.7971014492753623	f1=0.7544581618655692	auc=0.8570768059181897	spec=0.8172323759791122	mcc=0.5360860363839919	auprc=0.8459173784138088	sensitivity=0.7161458333333334
epoch:16	trainacc=0.9748319846385956	trainloss=0.07386306696540762	acc=0.7835723598435462	prec=0.8096590909090909	f1=0.7744565217391305	auc=0.8723210400348128	spec=0.825065274151436	mcc=0.5691755652973131	auprc=0.8823812928678538	sensitivity=0.7421875
epoch:17	trainacc=0.9768207378960362	trainloss=0.06752821546221331	acc=0.7392438070404173	prec=0.7804878048780488	f1=0.7191011235955055	auc=0.8468981179286336	spec=0.8120104438642297	mcc=0.4837694931814359	auprc=0.8327258592588074	sensitivity=0.6666666666666666
epoch:18	trainacc=0.975997805513647	trainloss=0.07054903568192032	acc=0.7640156453715776	prec=0.7811634349030471	f1=0.7570469798657719	auc=0.8499714425587468	spec=0.793733681462141	mcc=0.5290195091846482	auprc=0.8383808527841643	sensitivity=0.734375
epoch:19	trainacc=0.9810725552050473	trainloss=0.06003926213816084	acc=0.771838331160365	prec=0.7831978319783198	f1=0.7675962815405046	auc=0.8618363794604003	spec=0.7911227154046997	mcc=0.544115484489136	auprc=0.8743323681982348	sensitivity=0.7526041666666666
epoch:20	trainacc=0.9813468659991771	trainloss=0.057867186798816375	acc=0.7522816166883963	prec=0.7852941176470588	f1=0.7375690607734807	auc=0.8369438098346388	spec=0.8093994778067886	mcc=0.5079900603044272	auprc=0.8404198982185953	sensitivity=0.6953125
epoch:21	trainacc=0.9805925113153202	trainloss=0.05864267661889017	acc=0.7392438070404173	prec=0.7967741935483871	f1=0.7118155619596541	auc=0.8357335182767625	spec=0.835509138381201	mcc=0.48778027035909	auprc=0.8345089646006045	sensitivity=0.6432291666666666
epoch:22	trainacc=0.9814154436977095	trainloss=0.05786285798164578	acc=0.7535853976531942	prec=0.8037383177570093	f1=0.7319148936170213	auc=0.856104493037424	spec=0.835509138381201	mcc=0.5142590461853059	auprc=0.8615484596914784	sensitivity=0.671875
epoch:23	trainacc=0.981964065285969	trainloss=0.05146120128881244	acc=0.7653194263363755	prec=0.7914285714285715	f1=0.7547683923705721	auc=0.8464901544821584	spec=0.8093994778067886	mcc=0.5327898399870041	auprc=0.8310873183673622	sensitivity=0.7213541666666666
epoch:24	trainacc=0.9837470854478124	trainloss=0.05841447764128165	acc=0.7822685788787483	prec=0.8108882521489972	f1=0.772169167803547	auc=0.8601093342036554	spec=0.8276762402088773	mcc=0.5669537548370198	auprc=0.8473954479132982	sensitivity=0.7369791666666666
epoch:25	trainacc=0.9851186394184611	trainloss=0.045694811072522226	acc=0.7848761408083442	prec=0.8155619596541787	f1=0.7742818057455539	auc=0.8725284214534378	spec=0.8328981723237598	mcc=0.5724756307742841	auprc=0.8604467610029828	sensitivity=0.7369791666666666
epoch:26	trainacc=0.9837470854478124	trainloss=0.04782940847789051	acc=0.7640156453715776	prec=0.8123076923076923	f1=0.7447108603667137	auc=0.8667625380765883	spec=0.8407310704960835	mcc=0.5344857449165206	auprc=0.8735044492253612	sensitivity=0.6875
epoch:27	trainacc=0.9848443286243314	trainloss=0.04813998275917672	acc=0.7601043024771839	prec=0.7941176470588235	f1=0.7458563535911603	auc=0.8643317558746736	spec=0.8172323759791122	mcc=0.5237370746621646	auprc=0.8681471663032172	sensitivity=0.703125
epoch:28	trainacc=0.9856672610067206	trainloss=0.04294982693975327	acc=0.7757496740547588	prec=0.8045977011494253	f1=0.7650273224043717	auc=0.8556319353785902	spec=0.8224543080939948	mcc=0.5539991993565615	auprc=0.829718097603537	sensitivity=0.7291666666666666
epoch:29	trainacc=0.9890961459333425	trainloss=0.033887778765128475	acc=0.7835723598435462	prec=0.8096590909090909	f1=0.7744565217391305	auc=0.8781005221932114	spec=0.825065274151436	mcc=0.5691755652973131	auprc=0.8802790608308979	sensitivity=0.7421875
